,temperature
2024-06-15 00:00:00,57.7
2024-06-15 00:05:00,57.59166666666667
2024-06-15 00:10:00,57.483333333333334
2024-06-15 00:15:00,57.375
2024-06-15 00:20:00,57.266666666666666
2024-06-15 00:25:00,57.15833333333333
2024-06-15 00:30:00,57.050000000000004
2024-06-15 00:35:00,56.94166666666667
2024-06-15 00:40:00,56.833333333333336
2024-06-15 00:45:00,56.725
2024-06-15 00:50:00,56.61666666666667
2024-06-15 00:55:00,56.50833333333333
2024-06-15 01:00:00,56.4
2024-06-15 01:05:00,56.3
2024-06-15 01:10:00,56.2
2024-06-15 01:15:00,56.1
2024-06-15 01:20:00,56.0
2024-06-15 01:25:00,55.9
2024-06-15 01:30:00,55.8
2024-06-15 01:35:00,55.7
2024-06-15 01:40:00,55.6
2024-06-15 01:45:00,55.5
2024-06-15 01:50:00,55.400000000000006
2024-06-15 01:55:00,55.300000000000004
2024-06-15 02:00:00,55.2
2024-06-15 02:05:00,55.13333333333333
2024-06-15 02:10:00,55.06666666666667
2024-06-15 02:15:00,55.0
2024-06-15 02:20:00,54.93333333333334
2024-06-15 02:25:00,54.86666666666667
2024-06-15 02:30:00,54.8
2024-06-15 02:35:00,54.733333333333334
2024-06-15 02:40:00,54.666666666666664
2024-06-15 02:45:00,54.6
2024-06-15 02:50:00,54.53333333333333
2024-06-15 02:55:00,54.46666666666667
2024-06-15 03:00:00,54.4
2024-06-15 03:05:00,54.31666666666666
2024-06-15 03:10:00,54.233333333333334
2024-06-15 03:15:00,54.15
2024-06-15 03:20:00,54.06666666666666
2024-06-15 03:25:00,53.983333333333334
2024-06-15 03:30:00,53.9
2024-06-15 03:35:00,53.81666666666666
2024-06-15 03:40:00,53.733333333333334
2024-06-15 03:45:00,53.65
2024-06-15 03:50:00,53.56666666666666
2024-06-15 03:55:00,53.483333333333334
2024-06-15 04:00:00,53.4
2024-06-15 04:05:00,53.4
2024-06-15 04:10:00,53.4
2024-06-15 04:15:00,53.4
2024-06-15 04:20:00,53.4
2024-06-15 04:25:00,53.4
2024-06-15 04:30:00,53.4
2024-06-15 04:35:00,53.4
2024-06-15 04:40:00,53.4
2024-06-15 04:45:00,53.4
2024-06-15 04:50:00,53.4
2024-06-15 04:55:00,53.4
2024-06-15 05:00:00,53.4
2024-06-15 05:05:00,53.6
2024-06-15 05:10:00,53.8
2024-06-15 05:15:00,54.0
2024-06-15 05:20:00,54.199999999999996
2024-06-15 05:25:00,54.4
2024-06-15 05:30:00,54.599999999999994
2024-06-15 05:35:00,54.8
2024-06-15 05:40:00,55.0
2024-06-15 05:45:00,55.199999999999996
2024-06-15 05:50:00,55.4
2024-06-15 05:55:00,55.599999999999994
2024-06-15 06:00:00,55.8
2024-06-15 06:05:00,55.93333333333333
2024-06-15 06:10:00,56.06666666666666
2024-06-15 06:15:00,56.199999999999996
2024-06-15 06:20:00,56.33333333333333
2024-06-15 06:25:00,56.46666666666666
2024-06-15 06:30:00,56.599999999999994
2024-06-15 06:35:00,56.733333333333334
2024-06-15 06:40:00,56.86666666666667
2024-06-15 06:45:00,57.0
2024-06-15 06:50:00,57.13333333333333
2024-06-15 06:55:00,57.266666666666666
2024-06-15 07:00:00,57.4
2024-06-15 07:05:00,57.63333333333333
2024-06-15 07:10:00,57.86666666666667
2024-06-15 07:15:00,58.1
2024-06-15 07:20:00,58.333333333333336
2024-06-15 07:25:00,58.56666666666667
2024-06-15 07:30:00,58.800000000000004
2024-06-15 07:35:00,59.03333333333333
2024-06-15 07:40:00,59.266666666666666
2024-06-15 07:45:00,59.5
2024-06-15 07:50:00,59.733333333333334
2024-06-15 07:55:00,59.96666666666667
2024-06-15 08:00:00,60.2
2024-06-15 08:05:00,60.53333333333334
2024-06-15 08:10:00,60.86666666666667
2024-06-15 08:15:00,61.2
2024-06-15 08:20:00,61.53333333333334
2024-06-15 08:25:00,61.86666666666667
2024-06-15 08:30:00,62.2
2024-06-15 08:35:00,62.53333333333334
2024-06-15 08:40:00,62.86666666666667
