,temperature
2023-11-12 00:00:00,53.4
2023-11-12 00:05:00,53.18333333333333
2023-11-12 00:10:00,52.96666666666667
2023-11-12 00:15:00,52.75
2023-11-12 00:20:00,52.53333333333333
2023-11-12 00:25:00,52.31666666666666
2023-11-12 00:30:00,52.099999999999994
2023-11-12 00:35:00,51.88333333333333
2023-11-12 00:40:00,51.666666666666664
2023-11-12 00:45:00,51.449999999999996
2023-11-12 00:50:00,51.233333333333334
2023-11-12 00:55:00,51.016666666666666
2023-11-12 01:00:00,50.8
2023-11-12 01:05:00,50.699999999999996
2023-11-12 01:10:00,50.599999999999994
2023-11-12 01:15:00,50.5
2023-11-12 01:20:00,50.4
2023-11-12 01:25:00,50.3
2023-11-12 01:30:00,50.2
2023-11-12 01:35:00,50.1
2023-11-12 01:40:00,50.0
2023-11-12 01:45:00,49.9
2023-11-12 01:50:00,49.8
2023-11-12 01:55:00,49.7
2023-11-12 02:00:00,49.6
2023-11-12 02:05:00,49.550000000000004
2023-11-12 02:10:00,49.5
2023-11-12 02:15:00,49.45
2023-11-12 02:20:00,49.4
2023-11-12 02:25:00,49.35
2023-11-12 02:30:00,49.3
2023-11-12 02:35:00,49.25
2023-11-12 02:40:00,49.2
2023-11-12 02:45:00,49.15
2023-11-12 02:50:00,49.1
2023-11-12 02:55:00,49.05
2023-11-12 03:00:00,49.0
2023-11-12 03:05:00,49.03333333333333
2023-11-12 03:10:00,49.06666666666666
2023-11-12 03:15:00,49.1
2023-11-12 03:20:00,49.13333333333333
2023-11-12 03:25:00,49.166666666666664
2023-11-12 03:30:00,49.2
2023-11-12 03:35:00,49.233333333333334
2023-11-12 03:40:00,49.266666666666666
2023-11-12 03:45:00,49.3
2023-11-12 03:50:00,49.33333333333333
2023-11-12 03:55:00,49.36666666666667
2023-11-12 04:00:00,49.4
2023-11-12 04:05:00,49.05
2023-11-12 04:10:00,48.7
2023-11-12 04:15:00,48.35
2023-11-12 04:20:00,48.0
2023-11-12 04:25:00,47.65
2023-11-12 04:30:00,47.3
2023-11-12 04:35:00,46.95
2023-11-12 04:40:00,46.6
2023-11-12 04:45:00,46.25
2023-11-12 04:50:00,45.900000000000006
2023-11-12 04:55:00,45.550000000000004
2023-11-12 05:00:00,45.2
2023-11-12 05:05:00,45.150000000000006
2023-11-12 05:10:00,45.1
2023-11-12 05:15:00,45.050000000000004
2023-11-12 05:20:00,45.0
2023-11-12 05:25:00,44.95
2023-11-12 05:30:00,44.9
2023-11-12 05:35:00,44.85
2023-11-12 05:40:00,44.800000000000004
2023-11-12 05:45:00,44.75
2023-11-12 05:50:00,44.7
2023-11-12 05:55:00,44.65
2023-11-12 06:00:00,44.6
2023-11-12 06:05:00,44.61666666666667
2023-11-12 06:10:00,44.63333333333333
2023-11-12 06:15:00,44.65
2023-11-12 06:20:00,44.666666666666664
2023-11-12 06:25:00,44.68333333333333
2023-11-12 06:30:00,44.7
2023-11-12 06:35:00,44.71666666666667
2023-11-12 06:40:00,44.733333333333334
2023-11-12 06:45:00,44.75
2023-11-12 06:50:00,44.766666666666666
2023-11-12 06:55:00,44.78333333333333
2023-11-12 07:00:00,44.8
2023-11-12 07:05:00,45.4
2023-11-12 07:10:00,46.0
2023-11-12 07:15:00,46.599999999999994
2023-11-12 07:20:00,47.199999999999996
2023-11-12 07:25:00,47.8
2023-11-12 07:30:00,48.4
2023-11-12 07:35:00,49.0
2023-11-12 07:40:00,49.6
2023-11-12 07:45:00,50.199999999999996
2023-11-12 07:50:00,50.8
2023-11-12 07:55:00,51.4
2023-11-12 08:00:00,52.0
2023-11-12 08:05:00,52.541666666666664
2023-11-12 08:10:00,53.083333333333336
2023-11-12 08:15:00,53.625
2023-11-12 08:20:00,54.166666666666664
2023-11-12 08:25:00,54.708333333333336
2023-11-12 08:30:00,55.25
2023-11-12 08:35:00,55.791666666666664
2023-11-12 08:40:00,56.333333333333336
2023-11-12 08:45:00,56.875
2023-11-12 08:50:00,57.416666666666664
2023-11-12 08:55:00,57.958333333333336
2023-11-12 09:00:00,58.5
2023-11-12 09:05:00,58.875
2023-11-12 09:10:00,59.25
2023-11-12 09:15:00,59.625
2023-11-12 09:20:00,60.0
2023-11-12 09:25:00,60.375
2023-11-12 09:30:00,60.75
2023-11-12 09:35:00,61.125
2023-11-12 09:40:00,61.5
2023-11-12 09:45:00,61.875
2023-11-12 09:50:00,62.25
2023-11-12 09:55:00,62.625
2023-11-12 10:00:00,63.0
2023-11-12 10:05:00,63.55
2023-11-12 10:10:00,64.1
2023-11-12 10:15:00,64.64999999999999
2023-11-12 10:20:00,65.2
2023-11-12 10:25:00,65.75
2023-11-12 10:30:00,66.3
2023-11-12 10:35:00,66.85
2023-11-12 10:40:00,67.39999999999999
2023-11-12 10:45:00,67.94999999999999
2023-11-12 10:50:00,68.5
2023-11-12 10:55:00,69.05
2023-11-12 11:00:00,69.6
2023-11-12 11:05:00,70.01666666666667
2023-11-12 11:10:00,70.43333333333332
2023-11-12 11:15:00,70.85
2023-11-12 11:20:00,71.26666666666667
2023-11-12 11:25:00,71.68333333333332
2023-11-12 11:30:00,72.1
2023-11-12 11:35:00,72.51666666666667
2023-11-12 11:40:00,72.93333333333332
2023-11-12 11:45:00,73.35
2023-11-12 11:50:00,73.76666666666667
2023-11-12 11:55:00,74.18333333333332
2023-11-12 12:00:00,74.6
2023-11-12 12:05:00,74.77499999999999
2023-11-12 12:10:00,74.94999999999999
2023-11-12 12:15:00,75.125
2023-11-12 12:20:00,75.3
2023-11-12 12:25:00,75.475
2023-11-12 12:30:00,75.65
2023-11-12 12:35:00,75.825
2023-11-12 12:40:00,76.0
2023-11-12 12:45:00,76.175
2023-11-12 12:50:00,76.35
2023-11-12 12:55:00,76.525
2023-11-12 13:00:00,76.7
2023-11-12 13:05:00,76.48333333333333
2023-11-12 13:10:00,76.26666666666667
2023-11-12 13:15:00,76.05
2023-11-12 13:20:00,75.83333333333333
2023-11-12 13:25:00,75.61666666666666
2023-11-12 13:30:00,75.4
2023-11-12 13:35:00,75.18333333333334
2023-11-12 13:40:00,74.96666666666667
2023-11-12 13:45:00,74.75
2023-11-12 13:50:00,74.53333333333333
2023-11-12 13:55:00,74.31666666666666
2023-11-12 14:00:00,74.1
2023-11-12 14:05:00,73.85833333333333
2023-11-12 14:10:00,73.61666666666666
2023-11-12 14:15:00,73.375
2023-11-12 14:20:00,73.13333333333333
2023-11-12 14:25:00,72.89166666666667
2023-11-12 14:30:00,72.65
2023-11-12 14:35:00,72.40833333333333
2023-11-12 14:40:00,72.16666666666667
2023-11-12 14:45:00,71.925
2023-11-12 14:50:00,71.68333333333334
2023-11-12 14:55:00,71.44166666666666
2023-11-12 15:00:00,71.2
2023-11-12 15:05:00,70.99166666666667
2023-11-12 15:10:00,70.78333333333333
2023-11-12 15:15:00,70.575
2023-11-12 15:20:00,70.36666666666667
2023-11-12 15:25:00,70.15833333333333
2023-11-12 15:30:00,69.95
2023-11-12 15:35:00,69.74166666666667
2023-11-12 15:40:00,69.53333333333333
2023-11-12 15:45:00,69.325
2023-11-12 15:50:00,69.11666666666667
2023-11-12 15:55:00,68.90833333333333
2023-11-12 16:00:00,68.7
2023-11-12 16:05:00,68.85833333333333
2023-11-12 16:10:00,69.01666666666667
2023-11-12 16:15:00,69.175
2023-11-12 16:20:00,69.33333333333333
2023-11-12 16:25:00,69.49166666666666
2023-11-12 16:30:00,69.65
2023-11-12 16:35:00,69.80833333333334
2023-11-12 16:40:00,69.96666666666667
2023-11-12 16:45:00,70.125
2023-11-12 16:50:00,70.28333333333333
2023-11-12 16:55:00,70.44166666666666
2023-11-12 17:00:00,70.6
2023-11-12 17:05:00,70.33333333333333
2023-11-12 17:10:00,70.06666666666666
2023-11-12 17:15:00,69.8
2023-11-12 17:20:00,69.53333333333333
2023-11-12 17:25:00,69.26666666666667
2023-11-12 17:30:00,69.0
2023-11-12 17:35:00,68.73333333333333
2023-11-12 17:40:00,68.46666666666667
2023-11-12 17:45:00,68.2
2023-11-12 17:50:00,67.93333333333334
2023-11-12 17:55:00,67.66666666666667
2023-11-12 18:00:00,67.4
2023-11-12 18:05:00,66.98333333333333
2023-11-12 18:10:00,66.56666666666668
2023-11-12 18:15:00,66.15
2023-11-12 18:20:00,65.73333333333333
2023-11-12 18:25:00,65.31666666666666
2023-11-12 18:30:00,64.9
2023-11-12 18:35:00,64.48333333333333
2023-11-12 18:40:00,64.06666666666666
2023-11-12 18:45:00,63.65
2023-11-12 18:50:00,63.233333333333334
2023-11-12 18:55:00,62.81666666666666
2023-11-12 19:00:00,62.4
2023-11-12 19:05:00,62.041666666666664
2023-11-12 19:10:00,61.68333333333333
2023-11-12 19:15:00,61.324999999999996
2023-11-12 19:20:00,60.96666666666667
2023-11-12 19:25:00,60.608333333333334
2023-11-12 19:30:00,60.25
2023-11-12 19:35:00,59.891666666666666
2023-11-12 19:40:00,59.53333333333333
2023-11-12 19:45:00,59.175
2023-11-12 19:50:00,58.81666666666667
2023-11-12 19:55:00,58.458333333333336
2023-11-12 20:00:00,58.1
2023-11-12 20:05:00,58.05833333333334
2023-11-12 20:10:00,58.016666666666666
2023-11-12 20:15:00,57.975
2023-11-12 20:20:00,57.93333333333334
2023-11-12 20:25:00,57.891666666666666
2023-11-12 20:30:00,57.85
2023-11-12 20:35:00,57.80833333333334
2023-11-12 20:40:00,57.766666666666666
2023-11-12 20:45:00,57.725
2023-11-12 20:50:00,57.68333333333334
2023-11-12 20:55:00,57.641666666666666
2023-11-12 21:00:00,57.6
2023-11-12 21:05:00,57.458333333333336
2023-11-12 21:10:00,57.31666666666667
2023-11-12 21:15:00,57.175
2023-11-12 21:20:00,57.03333333333333
2023-11-12 21:25:00,56.891666666666666
2023-11-12 21:30:00,56.75
2023-11-12 21:35:00,56.608333333333334
2023-11-12 21:40:00,56.46666666666667
2023-11-12 21:45:00,56.324999999999996
2023-11-12 21:50:00,56.18333333333333
2023-11-12 21:55:00,56.041666666666664
2023-11-12 22:00:00,55.9
2023-11-12 22:05:00,55.70833333333333
2023-11-12 22:10:00,55.516666666666666
2023-11-12 22:15:00,55.325
2023-11-12 22:20:00,55.13333333333333
2023-11-12 22:25:00,54.94166666666666
2023-11-12 22:30:00,54.75
2023-11-12 22:35:00,54.55833333333334
2023-11-12 22:40:00,54.36666666666667
2023-11-12 22:45:00,54.175
2023-11-12 22:50:00,53.983333333333334
2023-11-12 22:55:00,53.79166666666667
2023-11-12 23:00:00,53.6
